Latitude,longitude,tree_dbh,status,health,spc_common,boroname
40.71053227,-74.00099583,8,Alive,Good,honeylocust,Manhattan
40.76305362,-73.98940403,13,Alive,Good,ash,Manhattan
40.77933026,-73.96004119,4,Alive,Poor,London planetree,Manhattan
40.76931763,-73.98215672,4,Alive,Good,pin oak,Manhattan
40.78366771,-73.97364707,9,Alive,Good,pin oak,Manhattan
40.71107233,-74.00075889,13,Alive,Good,honeylocust,Manhattan
40.76485995,-73.96072969,0,Stump,NA,NA,Manhattan
40.80385376,-73.95627225,18,Alive,Good,Japanese zelkova,Manhattan
40.7351854,-74.00014346,17,Alive,Good,Sophora,Manhattan
40.7142111,-73.99270449,5,Alive,Good,pin oak,Manhattan
40.77044029,-73.9662051,8,Alive,Good,Callery pear,Manhattan
40.78611718,-73.97230633,9,Alive,Good,Callery pear,Manhattan
40.719953340000004,-73.98261705,8,Alive,Good,littleleaf linden,Manhattan
40.78369752,-73.95751207,9,Alive,Fair,littleleaf linden,Manhattan
40.82921393,-73.95022862,7,Alive,Good,silver linden,Manhattan
40.78082918,-73.98466889,10,Alive,Fair,Callery pear,Manhattan
40.80031469,-73.94761525,6,Alive,Good,London planetree,Manhattan
40.78835052,-73.94318303,4,Alive,Fair,Japanese zelkova,Manhattan
40.73597258,-73.99979465,6,Alive,Fair,pin oak,Manhattan
40.78291731,-73.97463858,2,Alive,Good,pin oak,Manhattan
40.74417854,-73.9802213,11,Alive,Fair,pin oak,Manhattan
40.80767399,-73.95892624,9,Alive,Fair,ginkgo,Manhattan
40.72076657,-73.98425673,4,Alive,Good,honeylocust,Manhattan
40.7718358,-73.9512871,2,Alive,Good,honeylocust,Manhattan
40.71151599,-74.00096721,13,Alive,Good,honeylocust,Manhattan
40.71142671,-74.00094667,11,Alive,Good,honeylocust,Manhattan
40.71875645,-73.99061002,6,Alive,Good,pin oak,Manhattan
40.7712421,-73.94732148,9,Alive,Good,honeylocust,Manhattan
40.71280108,-73.99809015,3,Alive,Good,ginkgo,Manhattan
40.71290694,-73.99812256,3,Alive,Good,ginkgo,Manhattan
40.75906279,-73.9605278,9,Alive,Good,honeylocust,Manhattan
40.75902239,-73.96043138,6,Alive,Good,honeylocust,Manhattan
40.79870324,-73.97138909,5,Alive,Fair,littleleaf linden,Manhattan
40.78489887,-73.97237861,11,Alive,Poor,London planetree,Manhattan
40.73185779,-73.98778566,3,Alive,Good,green ash,Manhattan
40.7693758,-73.98215831,13,Alive,Good,pin oak,Manhattan
40.78789328,-73.94210193,7,Alive,Good,honeylocust,Manhattan
40.78783376,-73.94196119,8,Alive,Good,honeylocust,Manhattan
40.76972847,-73.98452072,12,Alive,Good,honeylocust,Manhattan
40.79852699,-73.97068058,11,Alive,Good,honeylocust,Manhattan
40.78325205,-73.97266371,16,Alive,Fair,ginkgo,Manhattan
40.80027874,-73.94752996,7,Alive,Good,London planetree,Manhattan
40.79191865,-73.97311462,4,Alive,Fair,hardy rubber tree,Manhattan
40.79187516,-73.97301173,6,Alive,Fair,hardy rubber tree,Manhattan
40.78511612,-73.95557195,13,Alive,Good,Callery pear,Manhattan
40.72910958,-73.97956172,10,Alive,Good,pin oak,Manhattan
40.72906345,-73.9794526,10,Alive,Good,pin oak,Manhattan
40.80248808,-73.96252446,27,Alive,Good,pin oak,Manhattan
40.78027608,-73.9597418,9,Alive,Good,Callery pear,Manhattan
40.78627106,-73.96970936,14,Alive,Good,honeylocust,Manhattan
40.72551012,-74.00027277,7,Alive,Good,ginkgo,Manhattan
40.80797914,-73.95964901,7,Dead,NA,NA,Manhattan
40.71789414,-73.99105107,8,Alive,Good,northern red oak,Manhattan
40.71337314,-73.99258531,4,Alive,Good,pin oak,Manhattan
40.78362693,-73.95734472,4,Alive,Good,pin oak,Manhattan
40.78153315,-73.97564656,6,Alive,Good,ginkgo,Manhattan
40.75320222,-73.96469389,16,Alive,Good,ginkgo,Manhattan
40.76338201,-73.95613854,10,Alive,Good,black walnut,Manhattan
40.82110009,-73.95525228,7,Alive,Fair,black walnut,Manhattan
40.77154413,-73.94709988,11,Alive,Good,honeylocust,Manhattan
40.71221565,-73.99791093,3,Alive,Good,ginkgo,Manhattan
40.7919896,-73.97743435,8,Alive,Good,honeylocust,Manhattan
40.81089603,-73.9617956,15,Alive,Good,pin oak,Manhattan
40.78293778,-73.97367039,10,Alive,Good,pin oak,Manhattan
40.7649318,-73.99058166,23,Alive,Good,Callery pear,Manhattan
40.78626076,-73.97220318,6,Alive,Good,Callery pear,Manhattan
40.78090783,-73.97610192,6,Alive,Good,ginkgo,Manhattan
40.77191874,-73.9514838,9,Alive,Good,honeylocust,Manhattan
40.73837794,-73.98016699,8,Alive,Good,honeylocust,Manhattan
40.80291939,-73.95251941,9,Alive,Fair,honeylocust,Manhattan
40.74991592,-73.96916843,14,Alive,Good,Sophora,Manhattan
40.80197849,-73.95247373,16,Alive,Good,Sophora,Manhattan
40.789835,-73.97621435,11,Alive,Good,pin oak,Manhattan
40.78055618,-73.98145427,12,Alive,Good,pin oak,Manhattan
40.83301527,-73.94564056,19,Alive,Good,pin oak,Manhattan
40.76509625,-73.96092165,10,Alive,Fair,Callery pear,Manhattan
40.77273814,-73.95856756,5,Alive,Good,silver linden,Manhattan
40.73559652,-73.99825964,13,Dead,NA,NA,Manhattan
40.80786902,-73.95938819,4,Dead,NA,NA,Manhattan
40.71576385,-73.9963516,3,Alive,Good,Japanese zelkova,Manhattan
40.77267548,-73.96138372,6,Alive,Good,Japanese zelkova,Manhattan
40.78294816,-73.95183455,4,Alive,Good,golden raintree,Manhattan
40.80177203,-73.9510733,11,Alive,Fair,black locust,Manhattan
40.7761426,-73.96424371,4,Alive,Good,black locust,Manhattan
40.78288379,-73.9572061,15,Alive,Fair,Sophora,Manhattan
40.77179879,-73.95026521,13,Alive,Good,Sophora,Manhattan
40.76412612,-73.95898881,3,Alive,Fair,white oak,Manhattan
40.74638074,-73.99121011,2,Alive,Fair,Sophora,Manhattan
40.80900142,-73.95427116,6,Alive,Fair,golden raintree,Manhattan
40.82741129,-73.95161281,0,Stump,NA,NA,Manhattan
40.73475714,-73.99665054,26,Alive,Good,black walnut,Manhattan
40.78636321,-73.96992869,15,Alive,Good,honeylocust,Manhattan
40.80871253,-73.95801583,10,Alive,Good,ginkgo,Manhattan
40.772113,-73.94668663,14,Alive,Good,honeylocust,Manhattan
40.71147264,-74.00095796,13,Alive,Good,honeylocust,Manhattan
40.76274911,-73.98735653,9,Alive,Good,American linden,Manhattan
40.72045806,-73.98152123,16,Alive,Good,American elm,Manhattan
40.70824405,-74.00030329,4,Alive,Good,American elm,Manhattan
40.78280389,-73.97386447,17,Alive,Good,London planetree,Manhattan
40.78285948,-73.97392546,4,Alive,Poor,London planetree,Manhattan
40.76323884,-73.98896255,13,Alive,Good,Callery pear,Manhattan
40.78152923,-73.98526496,3,Alive,Good,sweetgum,Manhattan
40.77324631,-73.94498302,15,Alive,Good,Sophora,Manhattan
40.76213929,-73.9878568,7,Alive,Good,Sophora,Manhattan
40.77745049,-73.98114646,9,Alive,Good,Sophora,Manhattan
40.79174164,-73.97685545,12,Alive,Fair,Callery pear,Manhattan
40.78664231,-73.96863461,3,Alive,Good,littleleaf linden,Manhattan
40.73806847,-73.98061081,9,Alive,Good,honeylocust,Manhattan
40.77010513,-73.98092335,3,Alive,Good,honeylocust,Manhattan
40.73593186,-73.99969807,7,Alive,Fair,ginkgo,Manhattan
